latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-30.655,152.971,301,1.9,1.4,2020-08-25,00:20,T,38,6.0NRT,288.6,11,D
-26.141,151.149,309.2,1.3,1.1,2020-08-25,00:20,T,53,6.0NRT,294.6,9.3,D
-26.143,151.162,306.7,1.3,1.1,2020-08-25,00:20,T,33,6.0NRT,292.4,6.7,D
-26.094,148.428,321.1,1,1,2020-08-25,00:20,T,77,6.0NRT,298.4,12.9,D
-26.095,148.438,337,1,1,2020-08-25,00:20,T,89,6.0NRT,301,33.3,D
-26.102,148.431,314,1,1,2020-08-25,00:20,T,68,6.0NRT,299.3,7.1,D
-26.104,148.441,310.8,1,1,2020-08-25,00:20,T,62,6.0NRT,299.1,4.7,D
-26.979,151.963,310.2,1.5,1.2,2020-08-25,00:20,T,63,6.0NRT,296.7,14.5,D
-26.723,148.592,315,1,1,2020-08-25,00:20,T,69,6.0NRT,301.8,7.9,D
-26.886,149.327,316.2,1.1,1,2020-08-25,00:20,T,70,6.0NRT,295.8,11.9,D
-27.148,150.341,308.8,1.2,1.1,2020-08-25,00:20,T,60,6.0NRT,296.4,6.3,D
-27.15,150.353,308.2,1.2,1.1,2020-08-25,00:20,T,58,6.0NRT,296,5.5,D
-27.033,149.386,343.8,1.1,1,2020-08-25,00:20,T,93,6.0NRT,299.9,51.5,D
-27.035,149.397,343.5,1.1,1,2020-08-25,00:20,T,93,6.0NRT,301.6,50,D
-27.036,149.408,325.6,1.1,1,2020-08-25,00:20,T,81,6.0NRT,300.8,20.1,D
-27.055,149.405,321.8,1.1,1,2020-08-25,00:20,T,78,6.0NRT,300.7,14.8,D
-27.057,149.416,316.7,1.1,1,2020-08-25,00:20,T,65,6.0NRT,300.6,9.7,D
-27.061,149.409,318.7,1.1,1,2020-08-25,00:20,T,74,6.0NRT,299,14,D
-27.412,152.263,304.1,1.6,1.2,2020-08-25,00:20,T,38,6.0NRT,292.6,8.3,D
-27.444,152.243,307.4,1.6,1.2,2020-08-25,00:20,T,58,6.0NRT,290.9,13.6,D
-27.112,149.434,315.3,1.1,1,2020-08-25,00:20,T,70,6.0NRT,299.7,9.2,D
-27.359,149.152,312.8,1.1,1,2020-08-25,00:20,T,65,6.0NRT,299.2,7.2,D
-27.512,149.76,307.6,1.1,1.1,2020-08-25,00:20,T,53,6.0NRT,294.3,5.7,D
-27.78,151.194,309.1,1.4,1.2,2020-08-25,00:20,T,58,6.0NRT,292.5,10.9,D
-27.668,149.884,318,1.2,1.1,2020-08-25,00:20,T,66,6.0NRT,296.2,12.7,D
-27.672,149.889,316.7,1.2,1.1,2020-08-25,00:20,T,74,6.0NRT,296.4,12,D
-27.767,150.019,317.9,1.2,1.1,2020-08-25,00:20,T,75,6.0NRT,294,14.9,D
-28.1,151.897,317.6,1.5,1.2,2020-08-25,00:20,T,77,6.0NRT,291.9,26.8,D
-29.001,151.418,319.6,1.4,1.2,2020-08-25,00:20,T,79,6.0NRT,292.7,27.5,D
-29.003,151.433,306.9,1.5,1.2,2020-08-25,00:20,T,54,6.0NRT,292.2,10.7,D
-29.652,150.648,301.7,1.3,1.1,2020-08-25,00:20,T,49,6.0NRT,290.6,6.1,D
-29.986,149.299,303.9,1.2,1.1,2020-08-25,00:20,T,57,6.0NRT,293.1,6.7,D
-30.66,152.985,301.5,1.9,1.4,2020-08-25,00:20,T,36,6.0NRT,288.9,11.8,D
-25.454,149.309,306.8,1.1,1,2020-08-25,00:20,T,48,6.0NRT,295.8,5,D
-12.987,142.077,319.9,3.1,1.7,2020-08-25,00:20,T,71,6.0NRT,294.2,55.6,D
-12.984,142.07,321.4,3.1,1.7,2020-08-25,00:20,T,74,6.0NRT,294.9,67.9,D
-14.758,144.325,317.9,1.9,1.4,2020-08-25,00:20,T,61,6.0NRT,296.4,21,D
-14.77,144.323,320.8,1.9,1.4,2020-08-25,00:20,T,53,6.0NRT,300,26.6,D
-16.529,141.829,316.9,2.8,1.6,2020-08-25,00:20,T,64,6.0NRT,300.7,29.6,D
-16.805,138.564,313.4,4.7,2,2020-08-25,00:20,T,46,6.0NRT,300.8,41,D
-16.804,138.559,314,4.7,2,2020-08-25,00:20,T,48,6.0NRT,301,48,D
-17.668,138.209,312.8,4.8,2,2020-08-25,00:20,T,16,6.0NRT,301.2,42.4,D
-17.686,138.206,316.9,4.8,2,2020-08-25,00:20,T,62,6.0NRT,301.5,77.6,D
-17.683,138.198,319.3,4.8,2,2020-08-25,00:20,T,55,6.0NRT,301.4,92.2,D
-22.118,149.499,309.4,1,1,2020-08-25,00:20,T,32,6.0NRT,294.7,5.2,D
